model_key,protein,uniprot_id,model_type,threshold,qsar_model_run,status,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,confusion_matrix,n_target_bioactivity_datapoints,n_expanded_proteins,n_expanded_bioactivity_datapoints,n_train_samples,n_test_samples,train_class_distribution,test_class_distribution,n_features,similar_proteins
MAOA_P21397_A,MAOA,P21397,A,N/A,Yes,success,0.6769911504424779,0.661208008091477,0.6749595012779415,0.6672767393561786,0.6566337008062689,"[[80, 19, 2], [24, 47, 11], [3, 14, 26]]",1130,"","",N/A,N/A,"{'Low': '403 (0.446)', 'Medium': '329 (0.364)', 'High': '172 (0.190)'}","{'Low': '101 (0.447)', 'Medium': '82 (0.363)', 'High': '43 (0.190)'}",2063,N/A
MAOA_P21397_B_high,MAOA,P21397,B,high,Yes,success,0.6637168141592921,0.6430726322926703,0.6612505344723457,0.6589117128332814,0.6333778868527805,"[[80, 20, 1], [25, 47, 10], [3, 17, 23]]",3589,7,2459,N/A,N/A,"{'High': '1169 (0.348)', 'Medium': '1138 (0.338)', 'Low': '1056 (0.314)'}","{'Low': '101 (0.447)', 'Medium': '82 (0.363)', 'High': '43 (0.190)'}",3023,N/A
MAOA_P21397_B_medium,MAOA,P21397,B,medium,Yes,success,0.672566371681416,0.6640704815897481,0.6695072519493875,0.6761436761436762,0.6562555574899521,"[[80, 19, 2], [29, 45, 8], [3, 13, 27]]",3590,8,2460,N/A,N/A,"{'High': '1169 (0.348)', 'Medium': '1138 (0.338)', 'Low': '1057 (0.314)'}","{'Low': '101 (0.447)', 'Medium': '82 (0.363)', 'High': '43 (0.190)'}",3023,N/A
MAOA_P21397_B_low,MAOA,P21397,B,low,Yes,success,0.6592920353982301,0.6443121693121693,0.6567302289647423,0.6543154392925035,0.6374513514879565,"[[79, 20, 2], [27, 45, 10], [3, 15, 25]]",4609,26,3501,N/A,N/A,"{'High': '1655 (0.378)', 'Medium': '1500 (0.342)', 'Low': '1228 (0.280)'}","{'Low': '101 (0.447)', 'Medium': '82 (0.363)', 'High': '43 (0.190)'}",3023,N/A
MAOB_P27338_A,MAOB,P27338,A,N/A,Yes,success,0.7335526315789473,0.7236498440456103,0.7346487494045745,0.7275612389248752,0.7216054836252855,"[[51, 21, 6], [16, 71, 14], [5, 19, 101]]",1519,"","",N/A,N/A,"{'High': '498 (0.410)', 'Medium': '403 (0.332)', 'Low': '314 (0.258)'}","{'High': '125 (0.411)', 'Medium': '101 (0.332)', 'Low': '78 (0.257)'}",2063,N/A
MAOB_P27338_B_high,MAOB,P27338,B,high,Yes,success,0.7335526315789473,0.7235998490575692,0.7343364625947892,0.7272189104156318,0.7216054836252855,"[[51, 21, 6], [15, 71, 15], [6, 18, 101]]",3589,7,2070,N/A,N/A,"{'Medium': '1119 (0.341)', 'High': '1087 (0.331)', 'Low': '1079 (0.328)'}","{'High': '125 (0.411)', 'Medium': '101 (0.332)', 'Low': '78 (0.257)'}",3023,N/A
MAOB_P27338_B_medium,MAOB,P27338,B,medium,Yes,success,0.7302631578947368,0.7213137593712023,0.7308440699216948,0.7264837313224409,0.7183051535922823,"[[51, 21, 6], [14, 70, 17], [5, 19, 101]]",3590,10,2071,N/A,N/A,"{'Medium': '1119 (0.341)', 'High': '1087 (0.331)', 'Low': '1080 (0.329)'}","{'High': '125 (0.411)', 'Medium': '101 (0.332)', 'Low': '78 (0.257)'}",3023,N/A
MAOB_P27338_B_low,MAOB,P27338,B,low,Yes,success,0.7171052631578947,0.7064678165289141,0.7174576549745597,0.7112414467253177,0.7037911483456037,"[[49, 22, 7], [15, 69, 17], [6, 19, 100]]",4623,31,3108,N/A,N/A,"{'High': '1530 (0.354)', 'Medium': '1508 (0.349)', 'Low': '1281 (0.297)'}","{'High': '125 (0.411)', 'Medium': '101 (0.332)', 'Low': '78 (0.257)'}",3023,N/A
ALDH1A1_P00352_A,ALDH1A1,P00352,A,N/A,Yes,success,0.5666666666666667,0.5629984051036683,0.5701754385964912,0.5676767676767677,0.5602693602693601,"[[6, 2, 2], [3, 4, 2], [0, 4, 7]]",150,"","",N/A,N/A,"{'High': '44 (0.367)', 'Low': '39 (0.325)', 'Medium': '37 (0.308)'}","{'High': '11 (0.367)', 'Low': '10 (0.333)', 'Medium': '9 (0.300)'}",2063,N/A
ALDH1A1_P00352_B_high,ALDH1A1,P00352,B,high,Yes,success,0.5666666666666667,0.5503955968352253,0.5608531131750946,0.5523504273504273,0.5535353535353535,"[[6, 2, 2], [3, 3, 3], [0, 3, 8]]",231,6,81,N/A,N/A,"{'High': '75 (0.373)', 'Medium': '66 (0.328)', 'Low': '60 (0.299)'}","{'High': '11 (0.367)', 'Low': '10 (0.333)', 'Medium': '9 (0.300)'}",3023,N/A
ALDH1A1_P00352_B_medium,ALDH1A1,P00352,B,medium,Yes,success,0.5666666666666667,0.5495311167945439,0.5609548167092925,0.5472222222222222,0.5535353535353535,"[[6, 2, 2], [4, 3, 2], [0, 3, 8]]",241,9,91,N/A,N/A,"{'High': '77 (0.365)', 'Medium': '69 (0.327)', 'Low': '65 (0.308)'}","{'High': '11 (0.367)', 'Low': '10 (0.333)', 'Medium': '9 (0.300)'}",3023,N/A
ALDH1A1_P00352_B_low,ALDH1A1,P00352,B,low,Yes,success,0.5666666666666667,0.5495311167945439,0.5609548167092925,0.5472222222222222,0.5535353535353535,"[[6, 2, 2], [4, 3, 2], [0, 3, 8]]",241,12,91,N/A,N/A,"{'High': '77 (0.365)', 'Medium': '69 (0.327)', 'Low': '65 (0.308)'}","{'High': '11 (0.367)', 'Low': '10 (0.333)', 'Medium': '9 (0.300)'}",3023,N/A
ADH1A_P07327_A,ADH1A,P07327,A,N/A,No,insufficient_data,N/A,N/A,N/A,N/A,N/A,N/A,0,"","",N/A,N/A,N/A,N/A,N/A,N/A
